"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Keyword","KW-0032","Aminotransferase",8,1,1.4,0.790013962141086,"RS01315",1
"Keyword","KW-0863","Zinc-finger",8,1,1.4,0.790013962141086,"dnaJ",1
"KEGG","bbk00400","Phenylalanine, tyrosine and tryptophan biosynthesis",8,1,1.4,0.790013962141086,"aroC",1
"InterPro","IPR012337","Ribonuclease H-like superfamily",8,1,1.4,0.790013962141086,"ruvX",1
"InterPro","IPR013815","ATP-grasp fold, subdomain 1",8,1,1.4,0.790013962141086,"RS01015",1
"InterPro","IPR015421","Pyridoxal phosphate-dependent transferase, major domain",8,1,1.4,0.790013962141086,"RS01315",1
"InterPro","IPR015422","Pyridoxal phosphate-dependent transferase, small domain",8,1,1.4,0.790013962141086,"RS01315",1
"InterPro","IPR015424","Pyridoxal phosphate-dependent transferase",8,1,1.4,0.790013962141086,"RS01315",1
"Keyword","KW-0732","Signal",68,10,12,0.792430760689755,"RS02220;RS03155;RS04280;RS04410;RS04775;RS05395;RS05535;RS05805;RS05915;tolB",1
"Process","GO:0043043","Peptide biosynthetic process",99,15,17.5,0.793296147870909,"RS04825;cysS;def;efp;frr;gltX;rplF;rplN;rplX;rpmH;rpsB;rpsO;serS;smpB;tsf",1
"Process","GO:0044260","Cellular macromolecule metabolic process",213,34,37.6,0.794245699966033,"RS00365;RS01325;RS01645;RS01920;RS02365;RS02455;RS03090;RS04045;RS04605;RS04825;RS06020;RS06130;RS06670;RS06685;cysS;def;dnaJ;dnaN;efp;frr;gltX;murA;murD;rplF;rplN;rplX;rpmH;rpsB;rpsO;rsmH;serS;smpB;trmD;tsf",1
"Function","GO:0005198","Structural molecule activity",62,9,11,0.797071719816746,"RS03090;RS04825;RS06670;rplF;rplN;rplX;rpmH;rpsB;rpsO",1
"Component","GO:0043226","Organelle",87,13,15.4,0.79749365586055,"RS02365;RS02580;RS04825;RS06030;RS06670;pdhA;rimM;rplF;rplN;rplX;rpmH;rpsB;rpsO",1
"Process","GO:0006629","Lipid metabolic process",43,6,7.6,0.800716953000145,"RS02820;RS06020;fabA;fabB;fabI;fabI",1
"Component","GO:0005840","Ribosome",56,8,9.9,0.802811283473876,"RS04825;rimM;rplF;rplN;rplX;rpmH;rpsB;rpsO",1
"Process","GO:0016043","Cellular component organization",75,11,13.3,0.803716912784591,"RS02365;RS02670;RS02970;RS03655;RS04185;RS04605;ccmA;frr;murA;murD;yihA",1
"Component","GO:0005887","Integral component of plasma membrane",16,2,2.8,0.804451861636215,"lptC;tolQ",1
